"LIBRARYREFERENCE","FOOTPRINT1","C","CATEGORY","COMMENT","CONFIGURATION","COPYRIGHT","CURRENT","DATASHEET","DATASHEET URL","DIGIKEY P/N","DIGIKEY PART NUMBER","DIGIKEYPARTNUMBER","FAMILY_NAME","FOOTPRINT","GENERIC_PART_NUMBER","INDUSTRY_STD_PKG_TYPE","INTERFACE","MANUFACTURER","MANUFACTURER P/N","MANUFACTURER PART NUMBER","MANUFACTURER_PART_NUMBER","MEMORY TYPE","MOUNTING TYPE","NUMBER OF CIRCUITS","OPERATING TEMPERATURE","PACKAGE / CASE","PACKAGE_DESIGNATOR","PACKAGING","PIN_COUNT","POWER","PROD_ID","QUANTITY_AVAILABLE","REFDES","RESISTANCE (OHMS)","SUPPLIER DEVICE PACKAGE","TAPS","TEMPERATURE","TEMPERATURE COEFFICIENT","TOLERANCE","TYPE","VALUE","VENDOR","VOLTAGE","VOLTAGE - SUPPLY","SHEETPART","DESIGNATOR","DESCRIPTION"
"RES 20K 0603","RESC1608X06N","","","=Value","","","","","","","","","","0603","","","","","","","","","","","","","","","","0.1W","","","","","","","","","1%","","20K","","","","*","R?",""
"RES 30K 0603","RESC1608X06N","","","=Value","","","","","","","","","","0603","","","","","","","","","","","","","","","","","","","","","","","","","1%","RES","30K","","","","*","R?",""
"RES 35K 0603","RESC1608X06N","","","=Value","","","","","","","","","","0603","","","","","","","","","","","","","","","","","","","","","","","","","1%","RES","35K","","","","*","R?",""
"RES 4.7K 0603","RESC1608X06N","","","=Value","","","","","","","","","","0603","","","","","","","","","","","","","","","","","","","","","","","","","1%","RES","4.7K","","","","*","R?",""
"RES 45.3K 0603","RESC1608X06N","","","=Value","","","","","","","541-45.3KHCT-ND","","","0603","","","","Vishay Dale","","","","","","","","","","","","0.1W","","","","","","","","","1%","RES","45.3K","","","","*","R?",""
"RES 470R 0603","RESC1608X06N","","","=Value","","","","","","","","","","0603","","","","","","","","","","","","","","","","0.25W","","","","","","","","","1%","RES","470R","","","","*","R?",""
"RES 5.6K 0603","RESC1608X06N","","","=Value","","","","","","","","","","0603","","","","","","","","","","","","","","","","","","","","","","","","","1%","RES","5.6K","","","","*","R?",""
"RES 64.9K 0603","RESC1608X06N","","","=Value","","","","","","","541-64.9KHCT-ND","","","0603","","","","Vishay Dale","","","","","","","","","","","","0.1W","","","","","","","","","1%","RES","64.9K","","","","*","R?",""
"RES 8.45K 0603","RESC1608X06N","","","=Value","","","","","","","541-8.45KHCT-ND","","","0603","","","","Vishay Dale","","","","","","","","","","","","0.1W","","","","","","","","","1%","RES","8.45K","","","","*","R?",""
"RES 9K 0603","RESC1608X06N","","","=Value","","","","","","","","","","0603","","","","","","","","","","","","","","","","","","","","","","","","","1%","RES","9K","","","","*","R?",""
"RESONATOR 8MHZ","MURATA CSTCE8M00G52Z-R0","","","8MHZ Resonator","","","","","","","490-5995-1-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","Q?",""
"SPDT Switch","70543-0002","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"SWITCH TACTILE SPST","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"TPA3116D2","DAP0032A","","","*","","","","","","","296-39337-1-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"TPA3116D2_V2","DAP0032A","","","*","","","","","","","296-39337-1-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
